dram_socket1,core_socket1,pkg_socket1,dram_socket2,core_socket2,pkg_socket2,timestamp
52665.226562,0.000000,108470.890625,21039.029297,0.000000,205651.656250,1624605563047883
52665.226562,0.000000,108470.906250,21039.031250,0.000000,205651.671875,1624605563049035
52665.226562,0.000000,108470.914062,21039.033203,0.000000,205651.687500,1624605563050212
52665.226562,0.000000,108470.921875,21039.035156,0.000000,205651.703125,1624605563051396
52665.226562,0.000000,108470.937500,21039.039062,0.000000,205651.734375,1624605563052603
52665.226562,0.000000,108470.953125,21039.039062,0.000000,205651.750000,1624605563053788
52665.226562,0.000000,108470.960938,21039.041016,0.000000,205651.750000,1624605563054940
52665.226562,0.000000,108470.968750,21039.042969,0.000000,205651.781250,1624605563056124
52665.226562,0.000000,108470.976562,21039.044922,0.000000,205651.781250,1624605563057295
52665.226562,0.000000,108470.984375,21039.046875,0.000000,205651.812500,1624605563058444
52665.226562,0.000000,108470.992188,21039.050781,0.000000,205651.828125,1624605563059633
52665.226562,0.000000,108471.007812,21039.052734,0.000000,205651.843750,1624605563060819
52665.226562,0.000000,108471.015625,21039.054688,0.000000,205651.859375,1624605563061989
52665.226562,0.000000,108471.023438,21039.056641,0.000000,205651.875000,1624605563063161
52665.226562,0.000000,108471.039062,21039.058594,0.000000,205651.890625,1624605563064344
52665.226562,0.000000,108471.046875,21039.060547,0.000000,205651.921875,1624605563065516
52665.226562,0.000000,108471.054688,21039.062500,0.000000,205651.937500,1624605563066676
52665.226562,0.000000,108471.070312,21039.064453,0.000000,205651.953125,1624605563067856
52665.230469,0.000000,108471.078125,21039.066406,0.000000,205651.968750,1624605563069040
52665.230469,0.000000,108471.085938,21039.068359,0.000000,205651.984375,1624605563070224
52665.230469,0.000000,108471.101562,21039.070312,0.000000,205652.000000,1624605563071410
52665.230469,0.000000,108471.109375,21039.074219,0.000000,205652.031250,1624605563072599
52665.230469,0.000000,108471.125000,21039.076172,0.000000,205652.046875,1624605563073788
52665.230469,0.000000,108471.132812,21039.078125,0.000000,205652.062500,1624605563074944
52665.230469,0.000000,108471.140625,21039.080078,0.000000,205652.078125,1624605563076130
52665.230469,0.000000,108471.148438,21039.080078,0.000000,205652.093750,1624605563077321
52665.230469,0.000000,108471.156250,21039.082031,0.000000,205652.109375,1624605563078506
52665.230469,0.000000,108471.164062,21039.085938,0.000000,205652.140625,1624605563079664
52665.234375,0.000000,108471.187500,21039.087891,0.000000,205652.156250,1624605563080848
52665.238281,0.000000,108471.195312,21039.089844,0.000000,205652.171875,1624605563082034
52665.238281,0.000000,108471.203125,21039.091797,0.000000,205652.187500,1624605563083222
52665.238281,0.000000,108471.210938,21039.093750,0.000000,205652.203125,1624605563084407
52665.238281,0.000000,108471.218750,21039.095703,0.000000,205652.234375,1624605563085592
52665.238281,0.000000,108471.226562,21039.099609,0.000000,205652.250000,1624605563086776
52665.242188,0.000000,108471.242188,21039.101562,0.000000,205652.265625,1624605563087963
52665.242188,0.000000,108471.250000,21039.101562,0.000000,205652.281250,1624605563089147
52665.242188,0.000000,108471.257812,21039.103516,0.000000,205652.296875,1624605563090339
52665.246094,0.000000,108471.273438,21039.105469,0.000000,205652.312500,1624605563091526
52665.246094,0.000000,108471.281250,21039.109375,0.000000,205652.343750,1624605563092711
52665.246094,0.000000,108471.296875,21039.111328,0.000000,205652.359375,1624605563093899
52665.246094,0.000000,108471.304688,21039.113281,0.000000,205652.375000,1624605563095086
52665.250000,0.000000,108471.312500,21039.115234,0.000000,205652.390625,1624605563096273
52665.250000,0.000000,108471.320312,21039.117188,0.000000,205652.406250,1624605563097457
52665.250000,0.000000,108471.328125,21039.119141,0.000000,205652.437500,1624605563098656
52665.253906,0.000000,108471.351562,21039.121094,0.000000,205652.453125,1624605563099838
52665.253906,0.000000,108471.359375,21039.123047,0.000000,205652.468750,1624605563101024
52665.253906,0.000000,108471.367188,21039.125000,0.000000,205652.484375,1624605563102208
52665.257812,0.000000,108471.375000,21039.126953,0.000000,205652.500000,1624605563103396
52665.257812,0.000000,108471.382812,21039.128906,0.000000,205652.515625,1624605563104582
52665.257812,0.000000,108471.390625,21039.132812,0.000000,205652.546875,1624605563105769
52665.261719,0.000000,108471.406250,21039.134766,0.000000,205652.562500,1624605563106958
52665.261719,0.000000,108471.414062,21039.136719,0.000000,205652.578125,1624605563108144
52665.265625,0.000000,108471.421875,21039.138672,0.000000,205652.593750,1624605563109330
52665.265625,0.000000,108471.429688,21039.140625,0.000000,205652.609375,1624605563110520
52665.269531,0.000000,108471.437500,21039.142578,0.000000,205652.640625,1624605563111709
52665.269531,0.000000,108471.453125,21039.144531,0.000000,205652.656250,1624605563112896
52665.273438,0.000000,108471.460938,21039.146484,0.000000,205652.671875,1624605563114081
52665.273438,0.000000,108471.468750,21039.148438,0.000000,205652.687500,1624605563115269
52665.277344,0.000000,108471.476562,21039.150391,0.000000,205652.703125,1624605563116456
52665.277344,0.000000,108471.484375,21039.152344,0.000000,205652.718750,1624605563117641
52665.281250,0.000000,108471.500000,21039.156250,0.000000,205652.750000,1624605563118827
52665.281250,0.000000,108471.515625,21039.158203,0.000000,205652.765625,1624605563120017
52665.285156,0.000000,108471.523438,21039.160156,0.000000,205652.781250,1624605563121201
52665.285156,0.000000,108471.531250,21039.162109,0.000000,205652.796875,1624605563122398
52665.289062,0.000000,108471.539062,21039.162109,0.000000,205652.812500,1624605563123585
52665.289062,0.000000,108471.546875,21039.166016,0.000000,205652.843750,1624605563124772
52665.292969,0.000000,108471.570312,21039.167969,0.000000,205652.859375,1624605563125959
52665.296875,0.000000,108471.578125,21039.169922,0.000000,205652.875000,1624605563127150
52665.296875,0.000000,108471.585938,21039.171875,0.000000,205652.890625,1624605563128337
52665.296875,0.000000,108471.593750,21039.173828,0.000000,205652.906250,1624605563129523
52665.300781,0.000000,108471.601562,21039.175781,0.000000,205652.937500,1624605563130708
52665.300781,0.000000,108471.609375,21039.179688,0.000000,205652.953125,1624605563131893
52665.304688,0.000000,108471.632812,21039.181641,0.000000,205652.968750,1624605563133079
52665.304688,0.000000,108471.640625,21039.181641,0.000000,205652.984375,1624605563134263
52665.308594,0.000000,108471.648438,21039.183594,0.000000,205653.000000,1624605563135447
52665.308594,0.000000,108471.656250,21039.185547,0.000000,205653.015625,1624605563136635
52665.312500,0.000000,108471.664062,21039.189453,0.000000,205653.046875,1624605563137827
52665.312500,0.000000,108471.679688,21039.191406,0.000000,205653.062500,1624605563139015
52665.316406,0.000000,108471.687500,21039.193359,0.000000,205653.078125,1624605563140207
52665.316406,0.000000,108471.703125,21039.195312,0.000000,205653.093750,1624605563141398
52665.320312,0.000000,108471.710938,21039.197266,0.000000,205653.109375,1624605563142585
52665.320312,0.000000,108471.718750,21039.199219,0.000000,205653.125000,1624605563143774
52665.324219,0.000000,108471.734375,21039.201172,0.000000,205653.156250,1624605563144961
52665.324219,0.000000,108471.742188,21039.203125,0.000000,205653.171875,1624605563146148
52665.328125,0.000000,108471.750000,21039.205078,0.000000,205653.187500,1624605563147335
52665.328125,0.000000,108471.757812,21039.207031,0.000000,205653.203125,1624605563148523
52665.332031,0.000000,108471.765625,21039.208984,0.000000,205653.218750,1624605563149713
