dram_socket1,core_socket1,pkg_socket1,dram_socket2,core_socket2,pkg_socket2,timestamp
57865.070312,0.000000,2662.184570,47511.710938,0.000000,173545.312500,1624731462624418
57865.074219,0.000000,2662.195801,47511.714844,0.000000,173545.328125,1624731462625592
57865.078125,0.000000,2662.219238,47511.718750,0.000000,173545.343750,1624731462626696
57865.078125,0.000000,2662.229248,47511.722656,0.000000,173545.375000,1624731462627822
57865.082031,0.000000,2662.239258,47511.726562,0.000000,173545.390625,1624731462628946
57865.082031,0.000000,2662.249268,47511.730469,0.000000,173545.406250,1624731462630096
57865.082031,0.000000,2662.258301,47511.734375,0.000000,173545.437500,1624731462631248
57865.082031,0.000000,2662.268799,47511.734375,0.000000,173545.453125,1624731462632399
57865.085938,0.000000,2662.279541,47511.742188,0.000000,173545.484375,1624731462633551
57865.089844,0.000000,2662.298340,47511.746094,0.000000,173545.515625,1624731462634693
57865.089844,0.000000,2662.309082,47511.750000,0.000000,173545.531250,1624731462635818
57865.089844,0.000000,2662.319336,47511.753906,0.000000,173545.562500,1624731462636973
57865.089844,0.000000,2662.329834,47511.757812,0.000000,173545.578125,1624731462638127
57865.089844,0.000000,2662.340088,47511.761719,0.000000,173545.593750,1624731462639264
57865.093750,0.000000,2662.351318,47511.765625,0.000000,173545.625000,1624731462640392
57865.093750,0.000000,2662.361572,47511.769531,0.000000,173545.656250,1624731462641548
57865.093750,0.000000,2662.384766,47511.773438,0.000000,173545.671875,1624731462642711
57865.093750,0.000000,2662.396729,47511.773438,0.000000,173545.687500,1624731462643869
57865.093750,0.000000,2662.406250,47511.777344,0.000000,173545.718750,1624731462645050
57865.097656,0.000000,2662.416992,47511.777344,0.000000,173545.734375,1624731462646202
57865.097656,0.000000,2662.427002,47511.781250,0.000000,173545.750000,1624731462647358
57865.097656,0.000000,2662.437988,47511.789062,0.000000,173545.796875,1624731462648521
57865.097656,0.000000,2662.456543,47511.792969,0.000000,173545.812500,1624731462649655
57865.101562,0.000000,2662.466797,47511.796875,0.000000,173545.843750,1624731462650756
57865.109375,0.000000,2662.512939,47511.812500,0.000000,173545.921875,1624731462654295
57865.109375,0.000000,2662.526123,47511.816406,0.000000,173545.937500,1624731462655400
57865.113281,0.000000,2662.543945,47511.820312,0.000000,173545.968750,1624731462656509
57865.117188,0.000000,2662.560547,47511.824219,0.000000,173546.015625,1624731462657623
57865.121094,0.000000,2662.598145,47511.828125,0.000000,173546.046875,1624731462658696
57865.121094,0.000000,2662.619385,47511.832031,0.000000,173546.062500,1624731462659824
57865.125000,0.000000,2662.643066,47511.835938,0.000000,173546.078125,1624731462660950
57865.125000,0.000000,2662.667236,47511.839844,0.000000,173546.093750,1624731462662078
57865.128906,0.000000,2662.690918,47511.843750,0.000000,173546.125000,1624731462663183
57865.128906,0.000000,2662.714355,47511.847656,0.000000,173546.140625,1624731462664283
57865.132812,0.000000,2662.736572,47511.847656,0.000000,173546.156250,1624731462665407
57865.136719,0.000000,2662.758789,47511.855469,0.000000,173546.187500,1624731462666509
57865.136719,0.000000,2662.780029,47511.863281,0.000000,173546.234375,1624731462667617
57865.144531,0.000000,2662.817871,47511.867188,0.000000,173546.250000,1624731462668743
57865.148438,0.000000,2662.838623,47511.871094,0.000000,173546.265625,1624731462669863
57865.148438,0.000000,2662.856934,47511.875000,0.000000,173546.296875,1624731462670953
57865.148438,0.000000,2662.875977,47511.875000,0.000000,173546.312500,1624731462672068
57865.152344,0.000000,2662.895996,47511.878906,0.000000,173546.343750,1624731462673165
57865.156250,0.000000,2662.915283,47511.882812,0.000000,173546.359375,1624731462674288
